account_id,district_id,open_date,statement_frequency,name,region,population,num_cities,urban_ratio,avg_salary,entrepreneur_1000,municipality_population.500,municipality_population_500.1999,municipality_population_2000.9999,municipality_population_..10000,unemployment_rate_for_95,unemployment_rate_for_96,crimes_committed_in_95,crimes_committed_in_96,num_customers,credit_cards,loan_id,loan_granted_date,loan_amount,loan_payments,loan_term,loan_status,loan,loan_default,max_withdrawal,min_withdrawal,cc_payments,max_balance,min_balance
11,76,1995-10-10,monthly,Sumperk,north Moravia,127369,7,51.2,8369,107,31,32,13,2,4.7,5.88,3736,2807,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,6700,15,NA,40389,300
12,21,1997-04-15,monthly,Tabor,south Bohemia,103347,7,67,9104,123,87,16,7,1,1.5,2.07,2299,2354,2,0,NA,NA,NA,NA,NA,NA,FALSE,NA,11000,15,NA,29053,1100
13,76,1997-08-17,monthly,Sumperk,north Moravia,127369,7,51.2,8369,107,31,32,13,2,4.7,5.88,3736,2807,2,0,NA,NA,NA,NA,NA,NA,FALSE,NA,7500,15,NA,29751,1000
14,47,1996-11-27,monthly,Pardubice,east Bohemia,162580,6,72.8,9538,111,83,26,5,1,1.5,1.81,6079,5410,1,1,NA,NA,NA,NA,NA,NA,FALSE,NA,17200,15,6,59453,400
15,70,1993-10-02,monthly,Karvina,north Moravia,285387,7,89.9,10177,81,0,2,8,5,6.6,7.75,9878,10108,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,46720,15,NA,66671,800
16,12,1997-09-23,monthly,Pribram,central Bohemia,107870,6,58,8754,137,84,29,6,1,3.8,4.31,3804,3868,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,26300,15,NA,60274,500
17,1,1997-01-08,monthly,Hl.m. Praha,Prague,1204953,1,100,12541,167,0,0,0,1,0.2,0.43,85677,99107,2,0,NA,NA,NA,NA,NA,NA,FALSE,NA,25500,15,NA,100815,700
19,21,1995-04-07,monthly,Tabor,south Bohemia,103347,7,67,9104,123,87,16,7,1,1.5,2.07,2299,2354,1,0,4961,1996-04-29,30276,2523,12,B,TRUE,TRUE,18500,1,NA,58158,-10605
20,74,1996-08-24,monthly,Ostrava - mesto,north Moravia,323870,1,100,10673,100,0,0,0,1,4.7,5.44,18782,18347,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,4950,15,NA,20458,500
21,54,1997-12-06,monthly,Brno - mesto,south Moravia,387570,1,100,9897,140,0,0,0,1,1.6,1.96,18721,18696,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,28000,15,NA,61685,1100
22,1,1994-03-23,monthly,Hl.m. Praha,Prague,1204953,1,100,12541,167,0,0,0,1,0.2,0.43,85677,99107,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,27600,15,NA,68160,1100
23,30,1993-05-22,monthly,Sokolov,west Bohemia,94812,10,81.8,9650,100,15,13,8,2,3.3,3.67,2985,2804,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,40480,15,NA,95299,800
24,74,1996-12-05,monthly,Ostrava - mesto,north Moravia,323870,1,100,10673,100,0,0,0,1,4.7,5.44,18782,18347,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,26800,15,NA,49091,1000
25,68,1996-07-28,monthly,Frydek - Mistek,north Moravia,228848,6,57.2,9893,96,15,40,18,2,4,4.72,5623,5887,1,0,4962,1997-12-08,30276,2523,12,A,TRUE,FALSE,63300,15,NA,134210,900
26,52,1993-08-08,monthly,Usti nad Orlici,east Bohemia,139012,10,61.9,8363,108,59,41,8,3,2.5,3.49,2564,2799,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,29100,15,NA,83469,800
27,73,1993-09-26,monthly,Opava,north Moravia,182027,7,56.4,8746,90,17,49,12,2,3.3,3.74,4355,4433,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,9500,15,NA,40464,900
29,7,1994-11-24,monthly,Melnik,central Bohemia,94725,6,63.4,9920,130,38,28,1,3,2.2,2.87,4289,4846,2,0,NA,NA,NA,NA,NA,NA,FALSE,NA,18000,8,NA,59950,700
30,36,1995-03-04,monthly,Liberec,north Bohemia,159617,9,85.2,9198,131,29,19,8,1,3.3,4.28,5796,6132,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,75600,15,NA,149154,400
31,68,1994-04-27,monthly,Frydek - Mistek,north Moravia,228848,6,57.2,9893,96,15,40,18,2,4,4.72,5623,5887,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,61700,15,NA,137131,800
32,5,1995-08-28,monthly,Kolin,central Bohemia,95616,6,51.4,9307,118,65,30,4,1,3.8,4.43,2616,3040,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,21500,15,NA,90565,700
33,22,1993-08-26,monthly,Domazlice,west Bohemia,58400,6,52.4,8620,100,65,16,4,1,1.1,1.25,1089,1117,1,1,NA,NA,NA,NA,NA,NA,FALSE,NA,63100,15,22,123696,600
35,75,1993-07-07,monthly,Prerov,north Moravia,138032,5,64.6,8819,99,67,30,4,2,5.3,5.66,4063,4505,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,14950,15,NA,32520,600
36,1,1993-07-01,monthly,Hl.m. Praha,Prague,1204953,1,100,12541,167,0,0,0,1,0.2,0.43,85677,99107,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,41120,15,NA,85055,500
37,20,1997-08-18,monthly,Strakonice,south Bohemia,70646,4,58.4,8547,120,94,14,3,1,2.6,3.64,1563,1542,1,0,4967,1998-10-14,318480,5308,60,D,TRUE,TRUE,43200,0,NA,104762,-1011
39,36,1993-09-22,monthly,Liberec,north Bohemia,159617,9,85.2,9198,131,29,19,8,1,3.3,4.28,5796,6132,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,7300,15,NA,36322,1100
40,64,1993-10-25,monthly,Zlin,south Moravia,197099,10,74.7,9624,145,29,41,10,2,1.6,2.31,4484,4265,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,13000,15,NA,41560,700
41,72,1997-08-02,monthly,Olomouc,north Moravia,226122,4,62.6,8994,110,32,50,7,4,3.8,4.79,9672,9208,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,19000,15,NA,100992,800
42,39,1996-08-16,monthly,Most,north Bohemia,119895,4,89.9,10446,90,17,4,3,2,7.3,9.4,4947,4743,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,11000,15,NA,45322,800
43,36,1994-06-12,monthly,Liberec,north Bohemia,159617,9,85.2,9198,131,29,19,8,1,3.3,4.28,5796,6132,1,1,NA,NA,NA,NA,NA,NA,FALSE,NA,38560,15,35,99572,1100
44,32,1993-05-10,monthly,Ceska Lipa,north Bohemia,105058,10,81,9272,118,32,19,7,2,2.8,3.22,4340,4505,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,11350,15,NA,29482,400
45,64,1997-09-02,monthly,Zlin,south Moravia,197099,10,74.7,9624,145,29,41,10,2,1.6,2.31,4484,4265,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,15000,15,NA,52970,300
47,45,1993-08-08,monthly,Jicin,east Bohemia,77917,5,53.5,8390,132,85,19,6,1,2.2,2.89,2080,2122,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,63300,9,NA,108509,300
48,21,1996-11-17,monthly,Tabor,south Bohemia,103347,7,67,9104,123,87,16,7,1,1.5,2.07,2299,2354,2,1,NA,NA,NA,NA,NA,NA,FALSE,NA,25120,15,4,72803,700
49,1,1997-04-06,monthly,Hl.m. Praha,Prague,1204953,1,100,12541,167,0,0,0,1,0.2,0.43,85677,99107,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,3520,15,NA,24004,300
50,1,1994-05-06,monthly,Hl.m. Praha,Prague,1204953,1,100,12541,167,0,0,0,1,0.2,0.43,85677,99107,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,23600,15,NA,90088,900
51,67,1996-05-11,monthly,Bruntal,north Moravia,106054,6,63.1,8110,109,38,25,6,2,5.7,6.55,3244,3079,1,1,NA,NA,NA,NA,NA,NA,FALSE,NA,26300,15,8,106203,800
52,16,1997-01-29,monthly,Jindrichuv Hradec,south Bohemia,93931,8,56.9,8427,107,74,21,10,1,1.1,1.54,1874,1913,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,42300,15,NA,83077,900
53,77,1995-06-07,monthly,Vsetin,north Moravia,148545,4,53.5,8909,113,8,35,12,3,4,5.56,3460,3590,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,3900,15,NA,27519,700
54,4,1995-05-02,monthly,Kladno,central Bohemia,149893,6,67.4,9753,109,63,29,6,2,4.6,5.05,5244,5892,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,8070,15,NA,29756,1000
55,20,1996-02-19,monthly,Strakonice,south Bohemia,70646,4,58.4,8547,120,94,14,3,1,2.6,3.64,1563,1542,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,4300,15,NA,23445,300
56,50,1994-05-16,monthly,Svitavy,east Bohemia,102609,6,52,8187,94,75,33,2,3,4.8,5.45,2123,2134,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,29600,15,NA,78757,900
57,1,1995-05-21,monthly,Hl.m. Praha,Prague,1204953,1,100,12541,167,0,0,0,1,0.2,0.43,85677,99107,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,25300,15,NA,77726,700
58,29,1996-08-23,monthly,Rokycany,west Bohemia,45714,6,55.6,8843,113,52,10,5,1,2.8,3.6,818,888,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,14250,6,NA,28954,-2204
59,43,1994-03-27,monthly,Hradec Kralove,east Bohemia,161854,6,76.3,9425,125,73,21,6,1,1.7,2.5,4085,3891,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,22880,15,NA,89720,600
61,70,1993-12-11,monthly,Karvina,north Moravia,285387,7,89.9,10177,81,0,2,8,5,6.6,7.75,9878,10108,2,0,NA,NA,NA,NA,NA,NA,FALSE,NA,5850,15,NA,31765,700
62,47,1993-03-28,monthly,Pardubice,east Bohemia,162580,6,72.8,9538,111,83,26,5,1,1.5,1.81,6079,5410,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,7600,15,NA,36366,1100
63,22,1996-11-16,monthly,Domazlice,west Bohemia,58400,6,52.4,8620,100,65,16,4,1,1.1,1.25,1089,1117,2,0,NA,NA,NA,NA,NA,NA,FALSE,NA,11650,15,NA,37303,600
64,64,1997-03-11,monthly,Zlin,south Moravia,197099,10,74.7,9624,145,29,41,10,2,1.6,2.31,4484,4265,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,32200,200,NA,79559,200
65,36,1996-10-29,monthly,Liberec,north Bohemia,159617,9,85.2,9198,131,29,19,8,1,3.3,4.28,5796,6132,1,1,NA,NA,NA,NA,NA,NA,FALSE,NA,26800,15,36,85379,600
67,16,1994-10-19,monthly,Jindrichuv Hradec,south Bohemia,93931,8,56.9,8427,107,74,21,10,1,1.1,1.54,1874,1913,1,0,4973,1996-05-02,165960,6915,24,A,TRUE,FALSE,61500,15,NA,134939,700
69,64,1996-01-12,monthly,Zlin,south Moravia,197099,10,74.7,9624,145,29,41,10,2,1.6,2.31,4484,4265,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,22800,15,NA,71708,600
70,8,1995-02-18,monthly,Mlada Boleslav,central Bohemia,112065,8,69.4,11277,127,95,19,7,1,1.2,1.44,5179,4987,2,0,NA,NA,NA,NA,NA,NA,FALSE,NA,20320,15,NA,60184,500
71,1,1994-03-05,monthly,Hl.m. Praha,Prague,1204953,1,100,12541,167,0,0,0,1,0.2,0.43,85677,99107,2,1,NA,NA,NA,NA,NA,NA,FALSE,NA,39520,15,88,94860,700
73,72,1993-11-08,monthly,Olomouc,north Moravia,226122,4,62.6,8994,110,32,50,7,4,3.8,4.79,9672,9208,1,1,NA,NA,NA,NA,NA,NA,FALSE,NA,44160,15,47,89175,400
75,1,1995-08-13,monthly,Hl.m. Praha,Prague,1204953,1,100,12541,167,0,0,0,1,0.2,0.43,85677,99107,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,20300,15,NA,49848,700
76,52,1996-05-16,monthly,Usti nad Orlici,east Bohemia,139012,10,61.9,8363,108,59,41,8,3,2.5,3.49,2564,2799,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,22400,15,NA,49609,200
77,63,1996-11-19,monthly,Vyskov,south Moravia,86513,5,50.5,8288,110,38,36,5,1,3.7,4.52,1562,1460,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,36200,15,NA,56325,400
78,74,1993-07-07,monthly,Ostrava - mesto,north Moravia,323870,1,100,10673,100,0,0,0,1,4.7,5.44,18782,18347,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,21100,15,NA,78733,400
79,3,1996-11-29,monthly,Beroun,central Bohemia,75232,5,41.7,8980,111,55,26,4,1,1.9,2.21,2824,2813,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,3680,15,NA,27474,600
80,43,1995-09-27,monthly,Hradec Kralove,east Bohemia,161854,6,76.3,9425,125,73,21,6,1,1.7,2.5,4085,3891,2,0,NA,NA,NA,NA,NA,NA,FALSE,NA,5250,15,NA,28082,900
81,74,1996-07-18,monthly,Ostrava - mesto,north Moravia,323870,1,100,10673,100,0,0,0,1,4.7,5.44,18782,18347,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,3800,15,NA,39080,1000
82,26,1994-05-03,monthly,Plzen - mesto,west Bohemia,170449,1,100,10787,131,0,0,0,1,2.6,3.09,6041,6261,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,61100,15,NA,161574,300
83,26,1993-04-16,monthly,Plzen - mesto,west Bohemia,170449,1,100,10787,131,0,0,0,1,2.6,3.09,6041,6261,2,0,NA,NA,NA,NA,NA,NA,FALSE,NA,14080,15,NA,42435,500
85,68,1997-03-23,monthly,Frydek - Mistek,north Moravia,228848,6,57.2,9893,96,15,40,18,2,4,4.72,5623,5887,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,7200,15,NA,59467,400
86,54,1993-03-07,monthly,Brno - mesto,south Moravia,387570,1,100,9897,140,0,0,0,1,1.6,1.96,18721,18696,2,0,NA,NA,NA,NA,NA,NA,FALSE,NA,8880,15,NA,28700,800
88,31,1996-07-03,monthly,Tachov,west Bohemia,51313,4,59.2,8930,108,34,12,3,1,3.5,4.2,1328,1452,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,2550,15,NA,27174,300
89,68,1997-09-25,monthly,Frydek - Mistek,north Moravia,228848,6,57.2,9893,96,15,40,18,2,4,4.72,5623,5887,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,10200,15,NA,39075,600
90,1,1994-07-13,monthly,Hl.m. Praha,Prague,1204953,1,100,12541,167,0,0,0,1,0.2,0.43,85677,99107,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,25120,15,NA,74107,500
91,17,1996-11-06,monthly,Pelhrimov,south Bohemia,74062,7,61.4,8114,119,99,15,4,2,2.3,2.62,1003,1181,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,34700,1,NA,77111,-4188
93,2,1996-06-12,monthly,Benesov,central Bohemia,88884,5,46.7,8507,132,80,26,6,2,1.6,1.85,2159,2674,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,24400,15,NA,38377,500
95,1,1995-03-30,monthly,Hl.m. Praha,Prague,1204953,1,100,12541,167,0,0,0,1,0.2,0.43,85677,99107,2,1,NA,NA,NA,NA,NA,NA,FALSE,NA,32000,15,NA,97808,200
96,68,1993-02-18,monthly,Frydek - Mistek,north Moravia,228848,6,57.2,9893,96,15,40,18,2,4,4.72,5623,5887,2,1,NA,NA,NA,NA,NA,NA,FALSE,NA,67500,15,85,156580,1100
97,74,1996-05-05,monthly,Ostrava - mesto,north Moravia,323870,1,100,10673,100,0,0,0,1,4.7,5.44,18782,18347,2,1,4986,1997-08-10,102876,8573,12,A,TRUE,FALSE,18600,3,25,67288,900
98,55,1997-05-02,monthly,Brno - venkov,south Moravia,157042,9,33.9,8743,111,49,70,18,0,1.8,2.43,3659,3894,2,0,NA,NA,NA,NA,NA,NA,FALSE,NA,7700,15,NA,25586,1100
99,1,1995-06-27,monthly,Hl.m. Praha,Prague,1204953,1,100,12541,167,0,0,0,1,0.2,0.43,85677,99107,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,64900,15,NA,122885,600
100,41,1993-12-28,monthly,Usti nad Labem,north Bohemia,118650,3,85.6,9832,114,8,8,5,1,3.3,4.48,6445,5471,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,35040,15,NA,84377,600
101,35,1996-04-16,monthly,Jablonec n. Nisou,north Bohemia,88768,7,80.5,8867,130,10,18,5,1,1,1.21,3384,3620,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,46240,15,NA,81423,1000
102,11,1993-10-16,monthly,Praha - zapad,central Bohemia,75637,7,36.5,9622,154,35,36,9,0,0.4,0.59,3475,3529,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,29600,0,NA,96777,-7104
103,44,1996-03-10,monthly,Chrudim,east Bohemia,105606,7,53,8254,97,77,26,7,2,2.7,3.76,2166,2325,1,0,4988,1997-12-06,265320,7370,36,D,TRUE,TRUE,62700,4,NA,124758,-1140
104,37,1993-04-15,monthly,Litomerice,north Bohemia,114006,9,62.3,9065,123,71,26,6,2,4.4,5.39,4147,4166,2,0,NA,NA,NA,NA,NA,NA,FALSE,NA,8700,15,NA,31741,500
105,21,1997-07-10,monthly,Tabor,south Bohemia,103347,7,67,9104,123,87,16,7,1,1.5,2.07,2299,2354,1,1,4989,1998-12-05,352704,7348,48,C,TRUE,FALSE,29900,15,NA,74694,800
106,63,1994-11-27,monthly,Vyskov,south Moravia,86513,5,50.5,8288,110,38,36,5,1,3.7,4.52,1562,1460,1,1,NA,NA,NA,NA,NA,NA,FALSE,NA,18800,15,36,76991,500
107,64,1993-11-05,monthly,Zlin,south Moravia,197099,10,74.7,9624,145,29,41,10,2,1.6,2.31,4484,4265,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,5760,15,NA,50612,1000
108,53,1995-03-10,monthly,Blansko,south Moravia,107911,7,50.9,8240,99,88,33,6,2,2.5,3.56,1850,1903,1,1,NA,NA,NA,NA,NA,NA,FALSE,NA,34720,15,9,88609,800
109,53,1997-04-20,monthly,Blansko,south Moravia,107911,7,50.9,8240,99,88,33,6,2,2.5,3.56,1850,1903,1,1,NA,NA,NA,NA,NA,NA,FALSE,NA,9100,15,NA,53624,1100
110,36,1996-07-17,monthly,Liberec,north Bohemia,159617,9,85.2,9198,131,29,19,8,1,3.3,4.28,5796,6132,1,1,4990,1997-09-08,162576,4516,36,C,TRUE,FALSE,44480,15,15,79652,900
112,6,1993-03-12,monthly,Kutna Hora,central Bohemia,77963,4,51.5,8546,126,60,23,4,2,2.9,4.02,2640,3120,2,0,NA,NA,NA,NA,NA,NA,FALSE,NA,38500,15,NA,52895,200
113,55,1996-07-22,monthly,Brno - venkov,south Moravia,157042,9,33.9,8743,111,49,70,18,0,1.8,2.43,3659,3894,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,6800,15,NA,32697,600
114,60,1997-03-14,monthly,Prostejov,south Moravia,110643,4,51.9,8441,115,49,41,4,1,3.4,4.48,1879,2252,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,6000,15,NA,27332,500
115,68,1993-03-19,monthly,Frydek - Mistek,north Moravia,228848,6,57.2,9893,96,15,40,18,2,4,4.72,5623,5887,1,1,NA,NA,NA,NA,NA,NA,FALSE,NA,11100,15,22,52047,800
116,8,1996-03-21,monthly,Mlada Boleslav,central Bohemia,112065,8,69.4,11277,127,95,19,7,1,1.2,1.44,5179,4987,2,0,NA,NA,NA,NA,NA,NA,FALSE,NA,31400,15,NA,77466,800
117,31,1993-09-05,monthly,Tachov,west Bohemia,51313,4,59.2,8930,108,34,12,3,1,3.5,4.2,1328,1452,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,11200,15,NA,32382,900
118,68,1997-09-18,monthly,Frydek - Mistek,north Moravia,228848,6,57.2,9893,96,15,40,18,2,4,4.72,5623,5887,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,5000,15,NA,40532,600
119,27,1993-05-25,monthly,Plzen - jih,west Bohemia,67298,7,43.8,8561,110,71,19,10,0,0.6,1.29,1029,1127,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,21200,15,NA,70508,800
121,55,1997-10-11,monthly,Brno - venkov,south Moravia,157042,9,33.9,8743,111,49,70,18,0,1.8,2.43,3659,3894,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,5600,15,NA,37504,200
122,31,1996-10-30,monthly,Tachov,west Bohemia,51313,4,59.2,8930,108,34,12,3,1,3.5,4.2,1328,1452,1,1,NA,NA,NA,NA,NA,NA,FALSE,NA,29400,15,NA,86062,900
123,21,1993-03-13,monthly,Tabor,south Bohemia,103347,7,67,9104,123,87,16,7,1,1.5,2.07,2299,2354,2,0,NA,NA,NA,NA,NA,NA,FALSE,NA,4500,15,NA,27494,200
124,55,1997-12-28,monthly,Brno - venkov,south Moravia,157042,9,33.9,8743,111,49,70,18,0,1.8,2.43,3659,3894,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,4900,15,NA,26468,800
126,5,1993-10-23,monthly,Kolin,central Bohemia,95616,6,51.4,9307,118,65,30,4,1,3.8,4.43,2616,3040,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,48900,15,NA,118219,200
127,29,1994-02-02,monthly,Rokycany,west Bohemia,45714,6,55.6,8843,113,52,10,5,1,2.8,3.6,818,888,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,6400,15,NA,23673,600
128,2,1993-02-19,monthly,Benesov,central Bohemia,88884,5,46.7,8507,132,80,26,6,2,1.6,1.85,2159,2674,1,1,NA,NA,NA,NA,NA,NA,FALSE,NA,21900,15,NA,86413,300
129,74,1997-10-01,monthly,Ostrava - mesto,north Moravia,323870,1,100,10673,100,0,0,0,1,4.7,5.44,18782,18347,2,0,NA,NA,NA,NA,NA,NA,FALSE,NA,7200,15,NA,29052,600
130,54,1997-02-12,monthly,Brno - mesto,south Moravia,387570,1,100,9897,140,0,0,0,1,1.6,1.96,18721,18696,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,7350,15,NA,35067,300
131,52,1995-06-13,monthly,Usti nad Orlici,east Bohemia,139012,10,61.9,8363,108,59,41,8,3,2.5,3.49,2564,2799,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,33000,15,NA,48212,5496
134,34,1997-12-10,monthly,Chomutov,north Bohemia,125236,5,87.7,9675,100,28,11,1,4,6.4,7.68,5323,5190,1,1,NA,NA,NA,NA,NA,NA,FALSE,NA,12700,15,NA,47697,300
135,75,1993-06-15,monthly,Prerov,north Moravia,138032,5,64.6,8819,99,67,30,4,2,5.3,5.66,4063,4505,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,24700,15,NA,75906,700
136,74,1996-05-14,monthly,Ostrava - mesto,north Moravia,323870,1,100,10673,100,0,0,0,1,4.7,5.44,18782,18347,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,8100,15,NA,32170,600
137,70,1996-07-19,monthly,Karvina,north Moravia,285387,7,89.9,10177,81,0,2,8,5,6.6,7.75,9878,10108,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,36000,15,NA,81958,900
138,22,1995-09-19,monthly,Domazlice,west Bohemia,58400,6,52.4,8620,100,65,16,4,1,1.1,1.25,1089,1117,2,0,NA,NA,NA,NA,NA,NA,FALSE,NA,4700,200,NA,21200,1100
140,24,1996-06-25,monthly,Karlovy Vary,west Bohemia,122603,8,80,8991,128,25,21,6,2,1.3,2.01,5198,5273,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,24600,15,NA,84824,300
141,38,1996-03-06,monthly,Louny,north Bohemia,85852,4,59.8,8965,104,41,23,4,2,7,8.23,2653,2822,2,0,NA,NA,NA,NA,NA,NA,FALSE,NA,45100,15,NA,89665,900
142,51,1993-02-15,monthly,Trutnov,east Bohemia,121947,11,70.5,8541,131,37,28,7,3,2.5,2.97,3496,3839,2,0,NA,NA,NA,NA,NA,NA,FALSE,NA,6200,15,NA,30167,900
143,21,1996-11-27,monthly,Tabor,south Bohemia,103347,7,67,9104,123,87,16,7,1,1.5,2.07,2299,2354,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,4500,15,NA,27564,500
145,31,1996-01-03,monthly,Tachov,west Bohemia,51313,4,59.2,8930,108,34,12,3,1,3.5,4.2,1328,1452,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,28900,15,NA,68969,1100
146,4,1993-09-02,monthly,Kladno,central Bohemia,149893,6,67.4,9753,109,63,29,6,2,4.6,5.05,5244,5892,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,11050,15,NA,38814,500
148,8,1993-06-21,monthly,Mlada Boleslav,central Bohemia,112065,8,69.4,11277,127,95,19,7,1,1.2,1.44,5179,4987,1,0,NA,NA,NA,NA,NA,NA,FALSE,NA,3400,15,NA,27206,500
