,account_id,district_id,date,statement_frequency,name,region,population,num_cities,urban_ratio,avg_salary,entrepreneur_1000,municipality_population<500,municipality_population_500-1999,municipality_population_2000-9999,municipality_population_>=10000,unemployment_rate_for_95,unemployment_rate_for_96,crimes_committed_in_95,crimes_committed_in_96,num_customers,credit_cards,loan_id,loan_granted_date,loan_amount,loan_payments,loan_term,loan_status,loan,loan_default,max_withdrawal,min_withdrawal,cc_payments,max_balance,min_balance
38,43,36,1994-06-12,monthly,Liberec,north Bohemia,159617,9,85.2,9198,131,29,19,8,1,3.3,4.28,5796.0,6132,1,1.0,NA,NA,NA,NA,NA,NA,True,NA,38560,15,35.0,99572,1100
39,44,32,1993-05-10,monthly,Ceska Lipa,north Bohemia,105058,10,81.0,9272,118,32,19,7,2,2.8,3.22,4340.0,4505,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,11350,15,NA,29482,400
40,45,64,1997-09-02,monthly,Zlin,south Moravia,197099,10,74.7,9624,145,29,41,10,2,1.6,2.31,4484.0,4265,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,15000,15,NA,52970,300
41,47,45,1993-08-08,monthly,Jicin,east Bohemia,77917,5,53.5,8390,132,85,19,6,1,2.2,2.89,2080.0,2122,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,63300,9,NA,108509,300
42,48,21,1996-11-17,monthly,Tabor,south Bohemia,103347,7,67.0,9104,123,87,16,7,1,1.5,2.07,2299.0,2354,2,1.0,NA,NA,NA,NA,NA,NA,True,NA,25120,15,4.0,72803,700
43,49,1,1997-04-06,monthly,Hl.m. Praha,Prague,1204953,1,100.0,12541,167,0,0,0,1,0.2,0.43,85677.0,99107,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,3520,15,NA,24004,300
44,50,1,1994-05-06,monthly,Hl.m. Praha,Prague,1204953,1,100.0,12541,167,0,0,0,1,0.2,0.43,85677.0,99107,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,23600,15,NA,90088,900
45,51,67,1996-05-11,monthly,Bruntal,north Moravia,106054,6,63.1,8110,109,38,25,6,2,5.7,6.55,3244.0,3079,1,1.0,NA,NA,NA,NA,NA,NA,True,NA,26300,15,8.0,106203,800
46,52,16,1997-01-29,monthly,Jindrichuv Hradec,south Bohemia,93931,8,56.9,8427,107,74,21,10,1,1.1,1.54,1874.0,1913,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,42300,15,NA,83077,900
47,53,77,1995-06-07,monthly,Vsetin,north Moravia,148545,4,53.5,8909,113,8,35,12,3,4.0,5.56,3460.0,3590,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,3900,15,NA,27519,700
48,54,4,1995-05-02,monthly,Kladno,central Bohemia,149893,6,67.4,9753,109,63,29,6,2,4.6,5.05,5244.0,5892,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,8070,15,NA,29756,1000
49,55,20,1996-02-19,monthly,Strakonice,south Bohemia,70646,4,58.4,8547,120,94,14,3,1,2.6,3.64,1563.0,1542,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,4300,15,NA,23445,300
50,56,50,1994-05-16,monthly,Svitavy,east Bohemia,102609,6,52.0,8187,94,75,33,2,3,4.8,5.45,2123.0,2134,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,29600,15,NA,78757,900
51,57,1,1995-05-21,monthly,Hl.m. Praha,Prague,1204953,1,100.0,12541,167,0,0,0,1,0.2,0.43,85677.0,99107,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,25300,15,NA,77726,700
52,58,29,1996-08-23,monthly,Rokycany,west Bohemia,45714,6,55.6,8843,113,52,10,5,1,2.8,3.6,818.0,888,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,14250,6,NA,28954,-2204
53,59,43,1994-03-27,monthly,Hradec Kralove,east Bohemia,161854,6,76.3,9425,125,73,21,6,1,1.7,2.5,4085.0,3891,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,22880,15,NA,89720,600
54,61,70,1993-12-11,monthly,Karvina,north Moravia,285387,7,89.9,10177,81,0,2,8,5,6.6,7.75,9878.0,10108,2,0.0,NA,NA,NA,NA,NA,NA,True,NA,5850,15,NA,31765,700
55,62,47,1993-03-28,monthly,Pardubice,east Bohemia,162580,6,72.8,9538,111,83,26,5,1,1.5,1.81,6079.0,5410,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,7600,15,NA,36366,1100
56,63,22,1996-11-16,monthly,Domazlice,west Bohemia,58400,6,52.4,8620,100,65,16,4,1,1.1,1.25,1089.0,1117,2,0.0,NA,NA,NA,NA,NA,NA,True,NA,11650,15,NA,37303,600
57,64,64,1997-03-11,monthly,Zlin,south Moravia,197099,10,74.7,9624,145,29,41,10,2,1.6,2.31,4484.0,4265,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,32200,200,NA,79559,200
58,65,36,1996-10-29,monthly,Liberec,north Bohemia,159617,9,85.2,9198,131,29,19,8,1,3.3,4.28,5796.0,6132,1,1.0,NA,NA,NA,NA,NA,NA,True,NA,26800,15,36.0,85379,600
59,67,16,1994-10-19,monthly,Jindrichuv Hradec,south Bohemia,93931,8,56.9,8427,107,74,21,10,1,1.1,1.54,1874.0,1913,1,0.0,4973.0,1996-05-02,165960.0,6915.0,24.0,A,True,False,61500,15,NA,134939,700
60,69,64,1996-01-12,monthly,Zlin,south Moravia,197099,10,74.7,9624,145,29,41,10,2,1.6,2.31,4484.0,4265,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,22800,15,NA,71708,600
61,70,8,1995-02-18,monthly,Mlada Boleslav,central Bohemia,112065,8,69.4,11277,127,95,19,7,1,1.2,1.44,5179.0,4987,2,0.0,NA,NA,NA,NA,NA,NA,True,NA,20320,15,NA,60184,500
62,71,1,1994-03-05,monthly,Hl.m. Praha,Prague,1204953,1,100.0,12541,167,0,0,0,1,0.2,0.43,85677.0,99107,2,1.0,NA,NA,NA,NA,NA,NA,True,NA,39520,15,88.0,94860,700
63,73,72,1993-11-08,monthly,Olomouc,north Moravia,226122,4,62.6,8994,110,32,50,7,4,3.8,4.79,9672.0,9208,1,1.0,NA,NA,NA,NA,NA,NA,True,NA,44160,15,47.0,89175,400
64,75,1,1995-08-13,monthly,Hl.m. Praha,Prague,1204953,1,100.0,12541,167,0,0,0,1,0.2,0.43,85677.0,99107,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,20300,15,NA,49848,700
65,76,52,1996-05-16,monthly,Usti nad Orlici,east Bohemia,139012,10,61.9,8363,108,59,41,8,3,2.5,3.49,2564.0,2799,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,22400,15,NA,49609,200
66,77,63,1996-11-19,monthly,Vyskov,south Moravia,86513,5,50.5,8288,110,38,36,5,1,3.7,4.52,1562.0,1460,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,36200,15,NA,56325,400
67,78,74,1993-07-07,monthly,Ostrava - mesto,north Moravia,323870,1,100.0,10673,100,0,0,0,1,4.7,5.44,18782.0,18347,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,21100,15,NA,78733,400
68,79,3,1996-11-29,monthly,Beroun,central Bohemia,75232,5,41.7,8980,111,55,26,4,1,1.9,2.21,2824.0,2813,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,3680,15,NA,27474,600
69,80,43,1995-09-27,monthly,Hradec Kralove,east Bohemia,161854,6,76.3,9425,125,73,21,6,1,1.7,2.5,4085.0,3891,2,0.0,NA,NA,NA,NA,NA,NA,True,NA,5250,15,NA,28082,900
70,81,74,1996-07-18,monthly,Ostrava - mesto,north Moravia,323870,1,100.0,10673,100,0,0,0,1,4.7,5.44,18782.0,18347,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,3800,15,NA,39080,1000
71,82,26,1994-05-03,monthly,Plzen - mesto,west Bohemia,170449,1,100.0,10787,131,0,0,0,1,2.6,3.09,6041.0,6261,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,61100,15,NA,161574,300
72,83,26,1993-04-16,monthly,Plzen - mesto,west Bohemia,170449,1,100.0,10787,131,0,0,0,1,2.6,3.09,6041.0,6261,2,0.0,NA,NA,NA,NA,NA,NA,True,NA,14080,15,NA,42435,500
73,85,68,1997-03-23,monthly,Frydek - Mistek,north Moravia,228848,6,57.2,9893,96,15,40,18,2,4.0,4.72,5623.0,5887,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,7200,15,NA,59467,400
74,86,54,1993-03-07,monthly,Brno - mesto,south Moravia,387570,1,100.0,9897,140,0,0,0,1,1.6,1.96,18721.0,18696,2,0.0,NA,NA,NA,NA,NA,NA,True,NA,8880,15,NA,28700,800
75,88,31,1996-07-03,monthly,Tachov,west Bohemia,51313,4,59.2,8930,108,34,12,3,1,3.5,4.2,1328.0,1452,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,2550,15,NA,27174,300
76,89,68,1997-09-25,monthly,Frydek - Mistek,north Moravia,228848,6,57.2,9893,96,15,40,18,2,4.0,4.72,5623.0,5887,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,10200,15,NA,39075,600
77,90,1,1994-07-13,monthly,Hl.m. Praha,Prague,1204953,1,100.0,12541,167,0,0,0,1,0.2,0.43,85677.0,99107,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,25120,15,NA,74107,500
78,91,17,1996-11-06,monthly,Pelhrimov,south Bohemia,74062,7,61.4,8114,119,99,15,4,2,2.3,2.62,1003.0,1181,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,34700,1,NA,77111,-4188
79,93,2,1996-06-12,monthly,Benesov,central Bohemia,88884,5,46.7,8507,132,80,26,6,2,1.6,1.85,2159.0,2674,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,24400,15,NA,38377,500
80,95,1,1995-03-30,monthly,Hl.m. Praha,Prague,1204953,1,100.0,12541,167,0,0,0,1,0.2,0.43,85677.0,99107,2,1.0,NA,NA,NA,NA,NA,NA,True,NA,32000,15,NA,97808,200
81,96,68,1993-02-18,monthly,Frydek - Mistek,north Moravia,228848,6,57.2,9893,96,15,40,18,2,4.0,4.72,5623.0,5887,2,1.0,NA,NA,NA,NA,NA,NA,True,NA,67500,15,85.0,156580,1100
82,97,74,1996-05-05,monthly,Ostrava - mesto,north Moravia,323870,1,100.0,10673,100,0,0,0,1,4.7,5.44,18782.0,18347,2,1.0,4986.0,1997-08-10,102876.0,8573.0,12.0,A,True,False,18600,3,25.0,67288,900
83,98,55,1997-05-02,monthly,Brno - venkov,south Moravia,157042,9,33.9,8743,111,49,70,18,0,1.8,2.43,3659.0,3894,2,0.0,NA,NA,NA,NA,NA,NA,True,NA,7700,15,NA,25586,1100
84,99,1,1995-06-27,monthly,Hl.m. Praha,Prague,1204953,1,100.0,12541,167,0,0,0,1,0.2,0.43,85677.0,99107,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,64900,15,NA,122885,600
85,100,41,1993-12-28,monthly,Usti nad Labem,north Bohemia,118650,3,85.6,9832,114,8,8,5,1,3.3,4.48,6445.0,5471,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,35040,15,NA,84377,600
86,101,35,1996-04-16,monthly,Jablonec n. Nisou,north Bohemia,88768,7,80.5,8867,130,10,18,5,1,1.0,1.21,3384.0,3620,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,46240,15,NA,81423,1000
87,102,11,1993-10-16,monthly,Praha - zapad,central Bohemia,75637,7,36.5,9622,154,35,36,9,0,0.4,0.59,3475.0,3529,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,29600,0,NA,96777,-7104
88,103,44,1996-03-10,monthly,Chrudim,east Bohemia,105606,7,53.0,8254,97,77,26,7,2,2.7,3.76,2166.0,2325,1,0.0,4988.0,1997-12-06,265320.0,7370.0,36.0,D,True,True,62700,4,NA,124758,-1140
89,104,37,1993-04-15,monthly,Litomerice,north Bohemia,114006,9,62.3,9065,123,71,26,6,2,4.4,5.39,4147.0,4166,2,0.0,NA,NA,NA,NA,NA,NA,True,NA,8700,15,NA,31741,500
90,105,21,1997-07-10,monthly,Tabor,south Bohemia,103347,7,67.0,9104,123,87,16,7,1,1.5,2.07,2299.0,2354,1,1.0,4989.0,1998-12-05,352704.0,7348.0,48.0,C,True,False,29900,15,NA,74694,800
91,106,63,1994-11-27,monthly,Vyskov,south Moravia,86513,5,50.5,8288,110,38,36,5,1,3.7,4.52,1562.0,1460,1,1.0,NA,NA,NA,NA,NA,NA,True,NA,18800,15,36.0,76991,500
92,107,64,1993-11-05,monthly,Zlin,south Moravia,197099,10,74.7,9624,145,29,41,10,2,1.6,2.31,4484.0,4265,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,5760,15,NA,50612,1000
93,108,53,1995-03-10,monthly,Blansko,south Moravia,107911,7,50.9,8240,99,88,33,6,2,2.5,3.56,1850.0,1903,1,1.0,NA,NA,NA,NA,NA,NA,True,NA,34720,15,9.0,88609,800
94,109,53,1997-04-20,monthly,Blansko,south Moravia,107911,7,50.9,8240,99,88,33,6,2,2.5,3.56,1850.0,1903,1,1.0,NA,NA,NA,NA,NA,NA,True,NA,9100,15,NA,53624,1100
95,110,36,1996-07-17,monthly,Liberec,north Bohemia,159617,9,85.2,9198,131,29,19,8,1,3.3,4.28,5796.0,6132,1,1.0,4990.0,1997-09-08,162576.0,4516.0,36.0,C,True,False,44480,15,15.0,79652,900
96,112,6,1993-03-12,monthly,Kutna Hora,central Bohemia,77963,4,51.5,8546,126,60,23,4,2,2.9,4.02,2640.0,3120,2,0.0,NA,NA,NA,NA,NA,NA,True,NA,38500,15,NA,52895,200
97,113,55,1996-07-22,monthly,Brno - venkov,south Moravia,157042,9,33.9,8743,111,49,70,18,0,1.8,2.43,3659.0,3894,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,6800,15,NA,32697,600
98,114,60,1997-03-14,monthly,Prostejov,south Moravia,110643,4,51.9,8441,115,49,41,4,1,3.4,4.48,1879.0,2252,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,6000,15,NA,27332,500
99,115,68,1993-03-19,monthly,Frydek - Mistek,north Moravia,228848,6,57.2,9893,96,15,40,18,2,4.0,4.72,5623.0,5887,1,1.0,NA,NA,NA,NA,NA,NA,True,NA,11100,15,22.0,52047,800
100,116,8,1996-03-21,monthly,Mlada Boleslav,central Bohemia,112065,8,69.4,11277,127,95,19,7,1,1.2,1.44,5179.0,4987,2,0.0,NA,NA,NA,NA,NA,NA,True,NA,31400,15,NA,77466,800
101,117,31,1993-09-05,monthly,Tachov,west Bohemia,51313,4,59.2,8930,108,34,12,3,1,3.5,4.2,1328.0,1452,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,11200,15,NA,32382,900
102,118,68,1997-09-18,monthly,Frydek - Mistek,north Moravia,228848,6,57.2,9893,96,15,40,18,2,4.0,4.72,5623.0,5887,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,5000,15,NA,40532,600
103,119,27,1993-05-25,monthly,Plzen - jih,west Bohemia,67298,7,43.8,8561,110,71,19,10,0,0.6,1.29,1029.0,1127,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,21200,15,NA,70508,800
104,121,55,1997-10-11,monthly,Brno - venkov,south Moravia,157042,9,33.9,8743,111,49,70,18,0,1.8,2.43,3659.0,3894,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,5600,15,NA,37504,200
105,122,31,1996-10-30,monthly,Tachov,west Bohemia,51313,4,59.2,8930,108,34,12,3,1,3.5,4.2,1328.0,1452,1,1.0,NA,NA,NA,NA,NA,NA,True,NA,29400,15,NA,86062,900
106,123,21,1993-03-13,monthly,Tabor,south Bohemia,103347,7,67.0,9104,123,87,16,7,1,1.5,2.07,2299.0,2354,2,0.0,NA,NA,NA,NA,NA,NA,True,NA,4500,15,NA,27494,200
107,124,55,1997-12-28,monthly,Brno - venkov,south Moravia,157042,9,33.9,8743,111,49,70,18,0,1.8,2.43,3659.0,3894,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,4900,15,NA,26468,800
108,126,5,1993-10-23,monthly,Kolin,central Bohemia,95616,6,51.4,9307,118,65,30,4,1,3.8,4.43,2616.0,3040,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,48900,15,NA,118219,200
109,127,29,1994-02-02,monthly,Rokycany,west Bohemia,45714,6,55.6,8843,113,52,10,5,1,2.8,3.6,818.0,888,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,6400,15,NA,23673,600
110,128,2,1993-02-19,monthly,Benesov,central Bohemia,88884,5,46.7,8507,132,80,26,6,2,1.6,1.85,2159.0,2674,1,1.0,NA,NA,NA,NA,NA,NA,True,NA,21900,15,NA,86413,300
111,129,74,1997-10-01,monthly,Ostrava - mesto,north Moravia,323870,1,100.0,10673,100,0,0,0,1,4.7,5.44,18782.0,18347,2,0.0,NA,NA,NA,NA,NA,NA,True,NA,7200,15,NA,29052,600
112,130,54,1997-02-12,monthly,Brno - mesto,south Moravia,387570,1,100.0,9897,140,0,0,0,1,1.6,1.96,18721.0,18696,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,7350,15,NA,35067,300
113,131,52,1995-06-13,monthly,Usti nad Orlici,east Bohemia,139012,10,61.9,8363,108,59,41,8,3,2.5,3.49,2564.0,2799,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,33000,15,NA,48212,5496
114,134,34,1997-12-10,monthly,Chomutov,north Bohemia,125236,5,87.7,9675,100,28,11,1,4,6.4,7.68,5323.0,5190,1,1.0,NA,NA,NA,NA,NA,NA,True,NA,12700,15,NA,47697,300
115,135,75,1993-06-15,monthly,Prerov,north Moravia,138032,5,64.6,8819,99,67,30,4,2,5.3,5.66,4063.0,4505,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,24700,15,NA,75906,700
116,136,74,1996-05-14,monthly,Ostrava - mesto,north Moravia,323870,1,100.0,10673,100,0,0,0,1,4.7,5.44,18782.0,18347,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,8100,15,NA,32170,600
117,137,70,1996-07-19,monthly,Karvina,north Moravia,285387,7,89.9,10177,81,0,2,8,5,6.6,7.75,9878.0,10108,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,36000,15,NA,81958,900
118,138,22,1995-09-19,monthly,Domazlice,west Bohemia,58400,6,52.4,8620,100,65,16,4,1,1.1,1.25,1089.0,1117,2,0.0,NA,NA,NA,NA,NA,NA,True,NA,4700,200,NA,21200,1100
119,140,24,1996-06-25,monthly,Karlovy Vary,west Bohemia,122603,8,80.0,8991,128,25,21,6,2,1.3,2.01,5198.0,5273,1,0.0,NA,NA,NA,NA,NA,NA,True,NA,24600,15,NA,84824,300
120,141,38,1996-03-06,monthly,Louny,north Bohemia,85852,4,59.8,8965,104,41,23,4,2,7.0,8.23,2653.0,2822,2,0.0,NA,NA,NA,NA,NA,NA,True,NA,45100,15,NA,89665,900
